<soft> Caption: Windows SDK Desktop Libs x64 ; InstallDate: 20190507</soft>
<soft> Caption: Windows SDK Desktop Tools arm64 ; InstallDate: 20190507</soft>
<soft> Caption:  ; InstallDate: </soft>
<soft> Caption: VS Immersive Activate Helper ; InstallDate: 20190215</soft>
<soft> Caption: Windows SDK Desktop Tools x64 ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Azure Storage Emulator - v5.9 ; InstallDate: 20190215</soft>
<soft> Caption: ClickOnce Bootstrapper Package for Microsoft .NET Framework ; InstallDate: 20190215</soft>
<soft> Caption: Windows SDK DirectX x64 Remote ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft .NET Framework 4.6.1 Targeting Pack ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x64 8.0.59192 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft SQL Server 2017 RsFx Driver ; InstallDate: 20191111</soft>
<soft> Caption: Microsoft Azure Compute Emulator - v2.9.5.3 ; InstallDate: 20190215</soft>
<soft> Caption: WinRT Intellisense Desktop - en-us ; InstallDate: 20190326</soft>
<soft> Caption: Google Update Helper ; InstallDate: 20200321</soft>
<soft> Caption: Windows SDK Modern Versioned Developer Tools ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual Studio 2015 XAML Designer ; InstallDate: 20190404</soft>
<soft> Caption: icecap_collection_neutral ; InstallDate: 20190516</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.5570 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK Desktop Headers x86 ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x86 8.0.58299 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK Desktop Headers x64 ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148.0 False ; InstallDate: 20190217</soft>
<soft> Caption: Universal CRT Extension SDK ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Help Viewer 2.2 ; InstallDate: 20190404</soft>
<soft> Caption: Поставщик Microsoft AS OLE DB для SQL Server 2016 ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664 ; InstallDate: 20190217</soft>
<soft> Caption: SQL Server 2017 Database Engine Services ; InstallDate: 20191111</soft>
<soft> Caption: Windows SDK for Windows Store Apps Headers ; InstallDate: 20190326</soft>
<soft> Caption: vs_filehandler_amd64 ; InstallDate: 20190516</soft>
<soft> Caption: Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - RUS ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft .NET Core SDK 2.1.604 (x64) ; InstallDate: 20190516</soft>
